Period      ,Q:AU,Q:BE,Q:CA,Q:CH,Q:DE,Q:DK,Q:ES,Q:FI,Q:FR,Q:GB,Q:IE,Q:IT,Q:JP,Q:NL,Q:NO,Q:NZ,Q:SE,Q:US
31.03.1970,9.84,19.63,14.55,34.23,40.98,19.44,,17.03,14.66,7.05,7.61,,21.20,19.79,15.45,6.21,19.56,16.97
30.06.1970,10.02,19.91,14.55,34.03,42.87,19.44,,17.33,14.93,7.05,7.61,,21.83,20.75,15.45,6.35,20.05,17.09
30.09.1970,10.30,19.77,14.67,35.11,43.34,19.44,,17.45,15.28,7.41,8.01,,22.40,21.33,15.45,6.49,20.05,17.62
31.12.1970,10.62,18.99,15.09,35.09,43.81,19.44,,17.80,15.24,7.41,8.47,,23.10,21.70,15.45,6.67,20.49,18.39
31.03.1971,10.92,19.00,15.21,37.46,45.23,21.18,4.40,18.06,15.24,7.59,8.35,4.43,23.89,22.33,16.29,6.88,20.60,18.06
30.06.1971,11.17,19.46,15.39,37.38,47.44,21.36,4.55,17.83,15.68,7.78,8.29,4.42,25.12,23.14,16.29,7.09,21.09,18.57
30.09.1971,11.51,19.76,15.33,38.98,48.07,21.98,4.60,18.46,16.31,8.32,9.15,4.44,25.98,23.35,16.29,7.23,21.09,19.03
31.12.1971,11.95,19.48,16.11,39.68,48.23,23.12,4.64,18.67,16.46,8.68,9.85,4.53,26.96,23.95,16.29,7.40,21.58,20.06
31.03.1972,12.21,19.98,16.46,41.19,49.17,24.45,4.59,19.43,16.55,9.22,9.51,4.72,28.00,24.88,17.54,7.68,22.13,19.27
30.06.1972,12.42,20.96,16.46,43.71,50.43,25.60,4.75,19.71,17.07,10.13,9.33,4.88,30.02,25.93,18.84,8.00,22.67,19.84
30.09.1972,12.77,21.80,16.70,45.65,50.91,25.77,4.89,19.80,17.81,11.57,9.85,5.03,32.23,26.16,18.79,8.25,22.67,20.51
31.12.1972,13.46,21.77,17.48,47.92,51.22,26.92,5.02,20.78,18.03,12.48,10.37,5.26,34.92,27.50,18.34,8.60,23.22,21.53
31.03.1973,13.84,22.41,18.38,51.35,52.01,28.16,5.51,22.28,18.16,13.92,10.36,6.11,38.20,28.47,19.09,9.12,23.76,21.57
30.06.1973,14.66,23.61,19.34,50.96,54.37,28.95,5.47,24.72,18.80,14.65,10.58,6.45,40.81,30.22,19.94,9.79,24.31,22.13
30.09.1973,15.85,24.60,20.78,51.78,55.00,30.36,5.94,26.21,19.72,15.55,10.65,6.86,42.39,30.80,19.29,10.53,24.31,22.99
